onset_time,offset_time,IPT,note
83.10904167,83.42235417,boxian,64
83.42235417,86.69472917,boxian,62
86.69472917,87.50702083,chanyin,61
87.50702083,87.7623125,boxian,59
87.7623125,88.2845,boxian,57
88.2845,88.82989583,boxian,59
88.82989583,89.93229167,boxian,62
89.93229167,90.46608333,chanyin,61
90.46608333,90.999875,chanyin,59
90.999875,91.76575,boxian,64
91.76575,91.98622917,boxian,66
91.98622917,92.531625,boxian,57
92.531625,93.088625,boxian,59
93.088625,95.06133333,boxian,62
95.06133333,96.21014583,chanyin,61
96.21014583,97.32414583,boxian,69
97.32414583,98.2060625,boxian,66
98.2060625,98.47295833,boxian,69
98.47295833,99.0415625,boxian,64
99.0415625,99.57535417,chanyin,61
99.57535417,100.0743333,boxian,59
100.0743333,100.6545417,boxian,62
100.6545417,104.7508125,boxian,59
104.7508125,106.0852917,yaozhi,69
106.0852917,109.8334375,yaozhi,66
109.8334375,110.733,yaozhi,73
110.733,114.1733958,xiahua,71
110.733,114.1733958,yaozhi,71
114.1733958,114.9392708,boxian,62
114.9392708,115.2409792,boxian,64
115.2409792,115.786375,chanyin,61
115.786375,116.3897917,boxian,59
116.3897917,118.571375,boxian,66
118.571375,119.33725,boxian,62
119.33725,119.61575,boxian,66
119.61575,120.17275,boxian,64
120.17275,120.7181458,chanyin,61
120.7181458,122.888125,boxian,59
122.888125,125.0000833,boxian,71
125.0000833,125.8007708,chanyin,71
125.8007708,126.0560625,boxian,69
126.0560625,126.5550417,boxian,66
126.5550417,127.0888333,boxian,64
127.0888333,131.2083125,boxian,64
131.2083125,131.9741875,chanyin,66
131.9741875,132.217875,boxian,69
132.217875,132.7284583,boxian,64
132.7284583,133.2970625,chanyin,66
133.2970625,135.4786458,chanyin,69
135.4786458,136.2909375,boxian,66
136.2909375,136.5694375,boxian,69
136.5694375,137.1032292,boxian,66
137.1032292,137.7298542,boxian,59
137.7298542,139.9926667,boxian,62
139.9926667,141.1414792,chanyin,61
141.1414792,142.2670833,boxian,69
142.2670833,143.1141875,boxian,66
143.1141875,143.3810833,boxian,69
143.3810833,143.9264792,boxian,64
143.9264792,144.4486667,chanyin,61
144.4486667,144.95925,boxian,59
144.95925,145.5046458,boxian,62
145.5046458,148.5565417,boxian,59
148.5565417,149.5661042,boxian,62
149.5661042,151.6896667,boxian,62
151.6896667,152.20025,chanyin,61
152.20025,152.7224375,boxian,59
152.7224375,153.732,shanghua,64
153.732,155.8439583,boxian,64
155.8439583,156.8999375,boxian,66
156.8999375,158.953875,chanyin,71
158.953875,159.789375,chanyin,71
159.789375,160.0330625,boxian,69
160.0330625,160.5088333,boxian,66
160.5088333,160.94,boxian,64
